HV,front
mean:1.311153,
1.2907423850108,"[[0.1453, 1.0, 0.9894950804062632], [0.79955957916172, 0.9970435551152609, 0.9892387854422342], [0.1453, 0.9940871102305227, 0.9959137219636054], [0.735743526217548, 0.9926088877881538, 0.9907813161235718], [0.9161689122687928, 0.9911306653457843, 0.9957601036817603], [0.9741835058544069, 0.988174220461046, 0.995546498095641], [0.7838956388936056, 0.9955653326728922, 0.9890512060939481], [0.1453, 0.9911306653457843, 0.994729528142192], [0.1453, 0.9349582125357532, 0.9675722598391876], [0.04363721008403358, 0.15404402200000736, 0.10895699209955742]]"
1.3213049658076794,"[[1.0, 0.9896524429034147, 0.9846315065594582], [0.9741835058544069, 0.988174220461046, 0.995546498095641], [0.9161689122687928, 0.9911306653457843, 0.9957601036817603], [0.79955957916172, 0.9970435551152609, 0.9892387854422342], [0.1453, 1.0, 0.9894950804062632], [0.1453, 0.9940871102305227, 0.9944048349555648], [0.735743526217548, 0.9926088877881538, 0.9907813161235718], [0.1453, 1.0, 0.9878776449428692], [0.7838956388936056, 0.9955653326728922, 0.9890512060939481], [0.1453, 0.9940871102305227, 0.9935635844265762]]"
1.3224383231529553,"[[1.0, 0.9896524429034147, 0.9846315065594582], [0.79955957916172, 0.9970435551152609, 0.9892387854422342], [0.9741835058544069, 0.988174220461046, 0.995546498095641], [0.1453, 1.0, 0.9894950804062632], [0.9161689122687928, 0.9911306653457843, 0.9957601036817603], [0.1453, 0.9866959980186765, 0.9999987304274226], [0.1453, 0.9940871102305227, 0.9959137219636054], [0.7572089258442253, 0.9926088877881538, 0.9931814430808295], [0.1453, 1.0, 0.9878776449428692], [0.1453, 1.0, 0.9860581887431229]]"
1.3218636539002477,"[[1.0, 0.9896524429034147, 0.9846315065594582], [0.9344435092482638, 0.9748702184797223, 0.9905526343630975], [0.9161689122687928, 0.9911306653457843, 0.9957601036817603], [0.79955957916172, 0.9970435551152609, 0.9892387854422342], [0.7572089258442253, 0.9926088877881538, 0.9931814430808295], [0.1453, 1.0, 0.9878776449428692], [0.1453, 0.9940871102305227, 0.9944048349555648], [0.1453, 0.9866959980186765, 0.9999987304274226], [0.1453, 0.9970435551152609, 0.9892978205670756], [0.1453, 0.9955653326728922, 0.9911283855268725]]"
1.2889955731241987,"[[0.9741835058544069, 0.988174220461046, 0.995546498095641], [0.1453, 1.0, 0.9894950804062632], [0.7838956388936056, 0.9955653326728922, 0.9890512060939481], [0.735743526217548, 0.9926088877881538, 0.9907813161235718], [0.1453, 0.9940871102305227, 0.9959137219636054], [0.1453, 0.9940871102305227, 0.9935635844265762], [0.1453, 0.9911306653457843, 0.994729528142192], [0.7142781265908708, 0.9719137735949841, 0.984605480321625], [0.1453, 0.9940871102305227, 0.9908463817181548], [0.1453, 0.9911306653457843, 0.9946401819720693]]"
1.322437043935584,"[[1.0, 0.9896524429034147, 0.9846315065594582], [0.9741835058544069, 0.988174220461046, 0.995546498095641], [0.9161689122687928, 0.9911306653457843, 0.9957601036817603], [0.79955957916172, 0.9970435551152609, 0.9892387854422342], [0.7572089258442253, 0.9926088877881538, 0.9931814430808295], [0.1453, 0.9940871102305227, 0.9935635844265762], [0.1453, 1.0, 0.9894950804062632], [0.1453, 0.9866959980186765, 0.9999987304274226], [0.1453, 0.9955653326728922, 0.9911283855268725], [0.1453, 1.0, 0.9860581887431229]]"
1.32096737236092,"[[1.0, 0.9896524429034147, 0.9846315065594582], [0.9741835058544069, 0.988174220461046, 0.995546498095641], [0.1453, 0.9866959980186765, 0.9999987304274226], [0.793758119803157, 0.9955653326728922, 0.9883567498942023], [0.7572089258442253, 0.9926088877881538, 0.9931814430808295], [0.1453, 0.9940871102305227, 0.9944048349555648], [0.1453, 0.9970435551152609, 0.9892978205670756], [0.1453, 0.9955653326728922, 0.9911283855268725], [0.1453, 1.0, 0.9878776449428692], [0.1453, 0.9911306653457843, 0.9946401819720693]]"
1.3213471766782896,"[[0.9741835058544069, 0.988174220461046, 0.995546498095641], [1.0, 0.9896524429034147, 0.9846315065594582], [0.79955957916172, 0.9970435551152609, 0.9892387854422342], [0.1453, 1.0, 0.9894950804062632], [0.9161689122687928, 0.9911306653457843, 0.9957601036817603], [0.1453, 0.9940871102305227, 0.9959137219636054], [0.735743526217548, 0.9926088877881538, 0.9907813161235718], [0.7838956388936056, 0.9955653326728922, 0.9890512060939481], [0.1453, 1.0, 0.9878776449428692], [0.1453, 0.9940871102305227, 0.9944048349555648]]"
1.3224356447951802,"[[1.0, 0.9896524429034147, 0.9846315065594582], [0.9741835058544069, 0.988174220461046, 0.995546498095641], [0.9161689122687928, 0.9911306653457843, 0.9957601036817603], [0.7572089258442253, 0.9926088877881538, 0.9931814430808295], [0.79955957916172, 0.9970435551152609, 0.9892387854422342], [0.1453, 1.0, 0.9860581887431229], [0.1453, 0.9940871102305227, 0.9959137219636054], [0.1453, 0.9866959980186765, 0.9999987304274226], [0.1453, 0.9911306653457843, 0.994729528142192], [0.1453, 0.9940871102305227, 0.9908463817181548]]"
